,_id,Country code,country,country_code,year_week,source,new_cases,number_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant,percent_cases_sequenced
0,626938c276e83156d9c647b9,,Austria,AT,2020-01,GISAID,0,0,Yes,B.1.1.529,0,0,,
1,626938c276e83156d9c647ba,,Austria,AT,2020-01,GISAID,0,0,Yes,B.1.617.2,0,0,,
2,626938c276e83156d9c647bb,,Austria,AT,2020-01,GISAID,0,0,Yes,Other,0,0,,
3,626938c276e83156d9c647bc,,Austria,AT,2020-01,GISAID,0,0,Yes,UNK,0,,,
4,626938c276e83156d9c647bd,,Austria,AT,2020-01,GISAID,0,0,Yes,XD,0,0,,
5,626938c276e83156d9c647be,,Austria,AT,2020-02,GISAID,0,0,Yes,B.1.1.529,0,0,,
6,626938c276e83156d9c647bf,,Austria,AT,2020-02,GISAID,0,0,Yes,B.1.617.2,0,0,,
7,626938c276e83156d9c647c0,,Austria,AT,2020-02,GISAID,0,0,Yes,Other,0,0,,
8,626938c276e83156d9c647c1,,Austria,AT,2020-02,GISAID,0,0,Yes,UNK,0,,,
9,626938c276e83156d9c647c2,,Austria,AT,2020-02,GISAID,0,0,Yes,XD,0,0,,
10,626938c276e83156d9c647c3,,Austria,AT,2020-03,GISAID,0,0,Yes,B.1.1.529,0,0,,
11,626938c276e83156d9c647c4,,Austria,AT,2020-03,GISAID,0,0,Yes,B.1.617.2,0,0,,
12,626938c276e83156d9c647c5,,Austria,AT,2020-03,GISAID,0,0,Yes,Other,0,0,,
13,626938c276e83156d9c647c6,,Austria,AT,2020-03,GISAID,0,0,Yes,UNK,0,,,
14,626938c276e83156d9c647c7,,Austria,AT,2020-03,GISAID,0,0,Yes,XD,0,0,,
15,626938c276e83156d9c647c8,,Austria,AT,2020-04,GISAID,0,0,Yes,B.1.1.529,0,0,,
16,626938c276e83156d9c647c9,,Austria,AT,2020-04,GISAID,0,0,Yes,B.1.617.2,0,0,,
17,626938c276e83156d9c647ca,,Austria,AT,2020-04,GISAID,0,0,Yes,Other,0,0,,
18,626938c276e83156d9c647cb,,Austria,AT,2020-04,GISAID,0,0,Yes,UNK,0,,,
19,626938c276e83156d9c647cc,,Austria,AT,2020-04,GISAID,0,0,Yes,XD,0,0,,
20,626938c276e83156d9c647cd,,Austria,AT,2020-05,GISAID,0,0,Yes,B.1.1.529,0,0,,
21,626938c276e83156d9c647ce,,Austria,AT,2020-05,GISAID,0,0,Yes,B.1.617.2,0,0,,
22,626938c276e83156d9c647cf,,Austria,AT,2020-05,GISAID,0,0,Yes,Other,0,0,,
23,626938c276e83156d9c647d0,,Austria,AT,2020-05,GISAID,0,0,Yes,UNK,0,,,
24,626938c276e83156d9c647d1,,Austria,AT,2020-05,GISAID,0,0,Yes,XD,0,0,,
25,626938c276e83156d9c647d2,,Austria,AT,2020-06,GISAID,0,0,Yes,B.1.1.529,0,0,,
26,626938c276e83156d9c647d3,,Austria,AT,2020-06,GISAID,0,0,Yes,B.1.617.2,0,0,,
27,626938c276e83156d9c647d4,,Austria,AT,2020-06,GISAID,0,0,Yes,Other,0,0,,
28,626938c276e83156d9c647d5,,Austria,AT,2020-06,GISAID,0,0,Yes,UNK,0,,,
29,626938c276e83156d9c647d6,,Austria,AT,2020-06,GISAID,0,0,Yes,XD,0,0,,
30,626938c276e83156d9c647d7,,Austria,AT,2020-07,GISAID,0,0,Yes,B.1.1.529,0,0,,
31,626938c276e83156d9c647d8,,Austria,AT,2020-07,GISAID,0,0,Yes,B.1.617.2,0,0,,
32,626938c276e83156d9c647d9,,Austria,AT,2020-07,GISAID,0,0,Yes,Other,0,0,,
33,626938c276e83156d9c647da,,Austria,AT,2020-07,GISAID,0,0,Yes,UNK,0,,,
34,626938c276e83156d9c647db,,Austria,AT,2020-07,GISAID,0,0,Yes,XD,0,0,,
35,626938c276e83156d9c647dc,,Austria,AT,2020-08,GISAID,0,0,Yes,B.1.1.529,0,0,,
36,626938c276e83156d9c647dd,,Austria,AT,2020-08,GISAID,0,0,Yes,B.1.617.2,0,0,,
37,626938c276e83156d9c647de,,Austria,AT,2020-08,GISAID,0,0,Yes,Other,0,0,,
38,626938c276e83156d9c647df,,Austria,AT,2020-08,GISAID,0,0,Yes,UNK,0,,,
39,626938c276e83156d9c647e0,,Austria,AT,2020-08,GISAID,0,0,Yes,XD,0,0,,
40,626938c276e83156d9c647e1,,Austria,AT,2020-09,GISAID,0,8,Yes,B.1.1.529,0,8,0,
41,626938c276e83156d9c647e2,,Austria,AT,2020-09,GISAID,0,8,Yes,B.1.617.2,0,8,0,
42,626938c276e83156d9c647e3,,Austria,AT,2020-09,GISAID,0,8,Yes,Other,8,8,100,
43,626938c276e83156d9c647e4,,Austria,AT,2020-09,GISAID,0,8,Yes,UNK,0,,,
44,626938c276e83156d9c647e5,,Austria,AT,2020-09,GISAID,0,8,Yes,XD,0,8,0,
45,626938c276e83156d9c647e6,,Austria,AT,2020-10,GISAID,114,58,Yes,B.1.1.529,0,58,0,50.9
46,626938c276e83156d9c647e7,,Austria,AT,2020-10,GISAID,114,58,Yes,B.1.617.2,0,58,0,50.9
47,626938c276e83156d9c647e8,,Austria,AT,2020-10,GISAID,114,58,Yes,Other,58,58,100,50.9
48,626938c276e83156d9c647e9,,Austria,AT,2020-10,GISAID,114,58,Yes,UNK,0,,,50.9
49,626938c276e83156d9c647ea,,Austria,AT,2020-10,GISAID,114,58,Yes,XD,0,58,0,50.9
50,626938c276e83156d9c647eb,,Austria,AT,2020-11,GISAID,873,119,Yes,B.1.1.529,0,119,0,13.6
51,626938c276e83156d9c647ec,,Austria,AT,2020-11,GISAID,873,119,Yes,B.1.617.2,0,119,0,13.6
52,626938c276e83156d9c647ed,,Austria,AT,2020-11,GISAID,873,119,Yes,Other,119,119,100,13.6
53,626938c276e83156d9c647ee,,Austria,AT,2020-11,GISAID,873,119,Yes,UNK,0,,,13.6
54,626938c276e83156d9c647ef,,Austria,AT,2020-11,GISAID,873,119,Yes,XD,0,119,0,13.6
55,626938c276e83156d9c647f0,,Austria,AT,2020-12,GISAID,3074,136,Yes,B.1.1.529,0,136,0,4.4
56,626938c276e83156d9c647f1,,Austria,AT,2020-12,GISAID,3074,136,Yes,B.1.617.2,0,136,0,4.4
57,626938c276e83156d9c647f2,,Austria,AT,2020-12,GISAID,3074,136,Yes,Other,136,136,100,4.4
58,626938c276e83156d9c647f3,,Austria,AT,2020-12,GISAID,3074,136,Yes,UNK,0,,,4.4
59,626938c276e83156d9c647f4,,Austria,AT,2020-12,GISAID,3074,136,Yes,XD,0,136,0,4.4
60,626938c276e83156d9c647f5,,Austria,AT,2020-13,GISAID,5191,161,Yes,B.1.1.529,0,161,0,3.1
61,626938c276e83156d9c647f6,,Austria,AT,2020-13,GISAID,5191,161,Yes,B.1.617.2,0,161,0,3.1
62,626938c276e83156d9c647f7,,Austria,AT,2020-13,GISAID,5191,161,Yes,Other,161,161,100,3.1
63,626938c276e83156d9c647f8,,Austria,AT,2020-13,GISAID,5191,161,Yes,UNK,0,,,3.1
64,626938c276e83156d9c647f9,,Austria,AT,2020-13,GISAID,5191,161,Yes,XD,0,161,0,3.1
65,626938c276e83156d9c647fa,,Austria,AT,2020-14,GISAID,3056,109,Yes,B.1.1.529,0,109,0,3.6
66,626938c276e83156d9c647fb,,Austria,AT,2020-14,GISAID,3056,109,Yes,B.1.617.2,0,109,0,3.6
67,626938c276e83156d9c647fc,,Austria,AT,2020-14,GISAID,3056,109,Yes,Other,109,109,100,3.6
68,626938c276e83156d9c647fd,,Austria,AT,2020-14,GISAID,3056,109,Yes,UNK,0,,,3.6
69,626938c276e83156d9c647fe,,Austria,AT,2020-14,GISAID,3056,109,Yes,XD,0,109,0,3.6
70,626938c276e83156d9c647ff,,Austria,AT,2020-15,GISAID,1832,56,Yes,B.1.1.529,0,56,0,3.1
71,626938c276e83156d9c64800,,Austria,AT,2020-15,GISAID,1832,56,Yes,B.1.617.2,0,56,0,3.1
72,626938c276e83156d9c64801,,Austria,AT,2020-15,GISAID,1832,56,Yes,Other,56,56,100,3.1
73,626938c276e83156d9c64802,,Austria,AT,2020-15,GISAID,1832,56,Yes,UNK,0,,,3.1
74,626938c276e83156d9c64803,,Austria,AT,2020-15,GISAID,1832,56,Yes,XD,0,56,0,3.1
75,626938c276e83156d9c64804,,Austria,AT,2020-16,GISAID,684,43,Yes,B.1.1.529,0,43,0,6.3
76,626938c276e83156d9c64805,,Austria,AT,2020-16,GISAID,684,43,Yes,B.1.617.2,0,43,0,6.3
77,626938c276e83156d9c64806,,Austria,AT,2020-16,GISAID,684,43,Yes,Other,43,43,100,6.3
78,626938c276e83156d9c64807,,Austria,AT,2020-16,GISAID,684,43,Yes,UNK,0,,,6.3
79,626938c276e83156d9c64808,,Austria,AT,2020-16,GISAID,684,43,Yes,XD,0,43,0,6.3
80,626938c276e83156d9c64809,,Austria,AT,2020-17,GISAID,447,27,Yes,B.1.1.529,0,27,0,6
81,626938c276e83156d9c6480a,,Austria,AT,2020-17,GISAID,447,27,Yes,B.1.617.2,0,27,0,6
82,626938c276e83156d9c6480b,,Austria,AT,2020-17,GISAID,447,27,Yes,Other,27,27,100,6
83,626938c276e83156d9c6480c,,Austria,AT,2020-17,GISAID,447,27,Yes,UNK,0,,,6
84,626938c276e83156d9c6480d,,Austria,AT,2020-17,GISAID,447,27,Yes,XD,0,27,0,6
85,626938c276e83156d9c6480e,,Austria,AT,2020-18,GISAID,311,22,Yes,B.1.1.529,0,22,0,7.1
86,626938c276e83156d9c6480f,,Austria,AT,2020-18,GISAID,311,22,Yes,B.1.617.2,0,22,0,7.1
87,626938c276e83156d9c64810,,Austria,AT,2020-18,GISAID,311,22,Yes,Other,22,22,100,7.1
88,626938c276e83156d9c64811,,Austria,AT,2020-18,GISAID,311,22,Yes,UNK,0,,,7.1
89,626938c276e83156d9c64812,,Austria,AT,2020-18,GISAID,311,22,Yes,XD,0,22,0,7.1
90,626938c276e83156d9c64813,,Austria,AT,2020-19,GISAID,263,18,Yes,B.1.1.529,0,18,0,6.8
91,626938c276e83156d9c64814,,Austria,AT,2020-19,GISAID,263,18,Yes,B.1.617.2,0,18,0,6.8
92,626938c276e83156d9c64815,,Austria,AT,2020-19,GISAID,263,18,Yes,Other,18,18,100,6.8
93,626938c276e83156d9c64816,,Austria,AT,2020-19,GISAID,263,18,Yes,UNK,0,,,6.8
